"payment_month","game_name","language","has_older_device_model","age","mrr","paid_users","arppu","new_paid_users","new_mrr","back_from_churn_users","back_from_churn_mrr","churned_users","churned_revenue","previous_paid_users","previous_mrr","churn_rate","revenue_churn_rate","expansion_mrr","contraction_mrr","net_mrr_growth","lt_months","ltv"
2022-09-01,game 3,en,false,25,70.14,1,70.14,0,0,0,0,0,0,1,78.39,0.0000,0.0000,0,-8.25,-8.25,,
2022-09-01,game 3,en,false,28,18.33,1,18.33,1,18.33,0,0,0,0,,,,,0,0,18.33,,
2022-09-01,game 3,ru,false,14,49.50,1,49.50,0,0,0,0,0,0,1,19.8,0.0000,0.0000,29.70,0,29.70,,
2022-09-01,game 3,ru,false,15,74.37,3,24.79,1,35.28,0,0,1,18.3,3,125.55,0.3333,0.1458,0,-68.16,-51.18,3.00,74.38
2022-09-01,game 3,ru,false,16,18.72,1,18.72,0,0,0,0,0,0,1,97.08,0.0000,0.0000,0,-78.36,-78.36,,
2022-09-01,game 3,ru,false,17,130.41,4,32.60,0,0,1,20.19,0,0,3,258.93,0.0000,0.0000,0,-148.71,-128.52,,
2022-09-01,game 3,ru,false,18,156.30,5,31.26,1,14.04,1,21.51,3,132.27,6,280.77,0.5000,0.4711,47.43,-75.18,-124.47,2.00,62.52
2022-09-01,game 3,ru,false,19,109.08,3,36.36,0,0,1,31.53,1,14.88,3,98.79,0.3333,0.1506,9.60,-15.96,10.29,3.00,109.09
2022-09-01,game 3,ru,false,20,66.87,2,33.44,0,0,1,43.53,2,53.49,3,101.40,0.6667,0.5275,0,-24.57,-34.53,1.50,50.16
2022-09-01,game 3,ru,false,21,53.52,1,53.52,0,0,0,0,0,0,1,17.4,0.0000,0.0000,36.12,0,36.12,,
2022-09-01,game 3,ru,false,22,95.58,3,31.86,0,0,1,13.8,1,29.52,3,156.51,0.3333,0.1886,0,-45.21,-60.93,3.00,95.59
2022-09-01,game 3,ru,false,23,183.03,4,45.76,0,0,1,18.51,1,48.18,4,260.94,0.2500,0.1846,26.13,-74.37,-77.91,4.00,183.04
2022-09-01,game 3,ru,false,24,167.43,4,41.86,1,43.83,0,0,1,36.57,4,143.55,0.2500,0.2548,47.28,-30.66,23.88,4.00,167.44
2022-09-01,game 3,ru,false,25,149.28,4,37.32,1,28.32,1,53.01,0,0,2,94.59,0.0000,0.0000,0,-26.64,54.69,,
2022-09-01,game 3,ru,false,26,0,0,,0,0,0,0,1,59.40,1,59.40,1.0000,1.0000,0,0,-59.40,1.00,
2022-09-01,game 3,ru,false,27,47.37,2,23.69,1,15.33,0,0,1,17.34,2,64.47,0.5000,0.2690,0,-15.09,-17.10,2.00,47.38
2022-09-01,game 3,ru,false,29,0,0,,0,0,0,0,1,23.1,1,23.1,1.0000,1.0000,0,0,-23.1,1.00,
2022-09-01,game 3,ru,false,31,44.70,1,44.70,0,0,0,0,0,0,1,53.28,0.0000,0.0000,0,-8.58,-8.58,,
2022-09-01,game 3,ru,false,32,90.87,1,90.87,0,0,0,0,0,0,1,104.70,0.0000,0.0000,0,-13.83,-13.83,,
2022-09-01,game 3,ru,false,33,43.29,1,43.29,1,43.29,0,0,2,56.22,2,56.22,1.0000,1.0000,0,0,-12.93,1.00,43.29
2022-09-01,game 3,ru,false,34,98.61,2,49.31,0,0,0,0,1,59.34,3,91.89,0.3333,0.6458,66.06,0,6.72,3.00,147.94
2022-09-01,game 3,ru,false,35,0,0,,0,0,0,0,1,15.84,1,15.84,1.0000,1.0000,0,0,-15.84,1.00,
2022-09-01,game 3,ru,false,37,16.98,1,16.98,0,0,0,0,0,0,1,42.87,0.0000,0.0000,0,-25.89,-25.89,,
2022-09-01,game 3,ru,false,43,0,0,,0,0,0,0,1,13.47,1,13.47,1.0000,1.0000,0,0,-13.47,1.00,
2022-09-01,game 3,ru,true,20,79.08,1,79.08,0,0,0,0,1,42.84,2,80.07,0.5000,0.5350,41.85,0,-0.99,2.00,158.16
2022-09-01,game 3,ru,true,21,32.70,1,32.70,0,0,0,0,0,0,1,12.6,0.0000,0.0000,20.10,0,20.10,,
2022-09-01,game 3,ru,true,24,20.91,1,20.91,0,0,0,0,0,0,1,36.27,0.0000,0.0000,0,-15.36,-15.36,,
2022-09-01,game 3,ru,true,26,90.09,1,90.09,0,0,0,0,0,0,1,40.83,0.0000,0.0000,49.26,0,49.26,,
2022-09-01,game 3,uk,false,14,87.60,2,43.80,0,0,1,60.06,0,0,1,68.43,0.0000,0.0000,0,-40.89,19.17,,
2022-09-01,game 3,uk,false,15,221.55,5,44.31,1,42.54,0,0,0,0,4,269.85,0.0000,0.0000,5.94,-96.78,-48.30,,
2022-09-01,game 3,uk,false,16,642.87,11,58.44,2,156.87,1,43.5,3,146.55,11,499.59,0.2727,0.2933,146.70,-57.24,143.28,3.67,214.30
2022-09-01,game 3,uk,false,17,119.73,3,39.91,0,0,0,0,1,45.93,4,132.36,0.2500,0.3470,33.30,0,-12.63,4.00,159.64
2022-09-01,game 3,uk,false,18,249.27,6,41.55,1,13.2,1,18.21,0,0,4,158.40,0.0000,0.0000,91.56,-32.10,90.87,,
2022-09-01,game 3,uk,false,19,364.41,9,40.49,2,104.07,0,0,0,0,7,548.76,0.0000,0.0000,24.33,-312.75,-184.35,,
2022-09-01,game 3,uk,false,20,559.86,13,43.07,2,47.91,2,70.95,1,13.47,10,473.07,0.1000,0.0285,69.96,-88.56,86.79,10.00,430.70
2022-09-01,game 3,uk,false,21,428.91,7,61.27,2,169.38,1,29.34,1,58.50,5,296.43,0.2000,0.1973,17.37,-25.11,132.48,5.00,306.35
2022-09-01,game 3,uk,false,22,374.22,5,74.84,3,201.36,0,0,2,75.30,4,222.99,0.5000,0.3377,45.03,-19.86,151.23,2.00,149.68
2022-09-01,game 3,uk,false,23,187.62,7,26.80,2,30.33,2,29.79,0,0,3,162.33,0.0000,0.0000,15.90,-50.73,25.29,,
2022-09-01,game 3,uk,false,24,379.05,7,54.15,0,0,0,0,0,0,7,523.44,0.0000,0.0000,9.87,-154.26,-144.39,,
2022-09-01,game 3,uk,false,25,628.62,10,62.86,5,211.47,0,0,2,70.95,7,406.95,0.2857,0.1743,179.64,-98.49,221.67,3.50,220.02
